ruta,nombre,tipo,tamano_bytes,fecha_mod,palabras_clave,hash_md5,contenido,palabras_limpias
/home/arca/archivo/formato/markdown/d4/d488a069979f2684eeaf5cf5a97e45ce_d488a069979f2684eeaf5cf5a97e45ce_8382.md,d488a069979f2684eeaf5cf5a97e45ce_d488a069979f2684eeaf5cf5a97e45ce_8382.md,md,26609,2025-07-27,tiene;implementada;presentación;glosario;documentar;cómo;futura;actualizan;sistémico;instancia,1e78733097c756d6621640bfba2c6c6d,d488a069979f2684eeaf5cf5a97e45ce_d488a069979f2684eeaf5cf5a97e45ce_8382.md tiene;implementada;presentación;glosario;documentar;cómo;futura;actualizan;sistémico;instancia /home/arca/archivo/formato/markdown/d4/d488a069979f2684eeaf5cf5a97e45ce_d488a069979f2684eeaf5cf5a97e45ce_8382.md,"['tiene', 'implementada', 'presentación', 'glosario', 'documentar', 'cómo', 'futura', 'actualizan', 'sistémico', 'instancia']"
/home/arca/archivo/formato/markdown/d4/d41d8cd98f00b204e9800998ecf8427e_d41d8cd98f00b204e9800998ecf8427e_?? Presentaci?n Humana.md,d41d8cd98f00b204e9800998ecf8427e_d41d8cd98f00b204e9800998ecf8427e_?? Presentaci?n Humana.md,md,0,2025-07-27,,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e_d41d8cd98f00b204e9800998ecf8427e_?? Presentaci?n Humana.md /home/arca/archivo/formato/markdown/d4/d41d8cd98f00b204e9800998ecf8427e_d41d8cd98f00b204e9800998ecf8427e_?? Presentaci?n Humana.md,['nan']
/home/arca/archivo/formato/markdown/d4/d41d8cd98f00b204e9800998ecf8427e_d41d8cd98f00b204e9800998ecf8427e_Sin t?tulo 1.md,d41d8cd98f00b204e9800998ecf8427e_d41d8cd98f00b204e9800998ecf8427e_Sin t?tulo 1.md,md,0,2025-07-27,,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e_d41d8cd98f00b204e9800998ecf8427e_Sin t?tulo 1.md /home/arca/archivo/formato/markdown/d4/d41d8cd98f00b204e9800998ecf8427e_d41d8cd98f00b204e9800998ecf8427e_Sin t?tulo 1.md,['nan']
/home/arca/archivo/formato/markdown/d4/d4fef77b7a8c181ac592daab642b46ea_d4fef77b7a8c181ac592daab642b46ea_README.md,d4fef77b7a8c181ac592daab642b46ea_d4fef77b7a8c181ac592daab642b46ea_README.md,md,983,2025-07-27,nuevo;scripts;proyecto;principal;mantener;laboratorio;módulo;subcarpeta;estables;institucionales,fb35de7e477c0b9e49d953b23d20630e,d4fef77b7a8c181ac592daab642b46ea_d4fef77b7a8c181ac592daab642b46ea_README.md nuevo;scripts;proyecto;principal;mantener;laboratorio;módulo;subcarpeta;estables;institucionales /home/arca/archivo/formato/markdown/d4/d4fef77b7a8c181ac592daab642b46ea_d4fef77b7a8c181ac592daab642b46ea_README.md,"['nuevo', 'scripts', 'proyecto', 'principal', 'mantener', 'laboratorio', 'módulo', 'subcarpeta', 'estables', 'institucionales']"
/home/arca/archivo/formato/markdown/d4/d4be438b8dbf912ac666a82fa394c69d_d4be438b8dbf912ac666a82fa394c69d_2025-05-12_diario.md,d4be438b8dbf912ac666a82fa394c69d_d4be438b8dbf912ac666a82fa394c69d_2025-05-12_diario.md,md,2534,2025-07-27,reemplazo;estrategia;forzar;revisión;alma;versión;multiusuario;interconexión;todos;habrá,b0a8832c4a4e1762d039a9159dc8da1e,d4be438b8dbf912ac666a82fa394c69d_d4be438b8dbf912ac666a82fa394c69d_2025-05-12_diario.md reemplazo;estrategia;forzar;revisión;alma;versión;multiusuario;interconexión;todos;habrá /home/arca/archivo/formato/markdown/d4/d4be438b8dbf912ac666a82fa394c69d_d4be438b8dbf912ac666a82fa394c69d_2025-05-12_diario.md,"['reemplazo', 'estrategia', 'forzar', 'revisión', 'alma', 'versión', 'multiusuario', 'interconexión', 'todos', 'habrá']"
/home/arca/archivo/formato/markdown/d4/d4591956622a6e157e410f9d796a8b4b_d4591956622a6e157e410f9d796a8b4b_resumen_semanal_43.md,d4591956622a6e157e410f9d796a8b4b_d4591956622a6e157e410f9d796a8b4b_resumen_semanal_43.md,md,73,2025-07-27,plantilla;semana;propuesta;semanal;resumen,d4591956622a6e157e410f9d796a8b4b,d4591956622a6e157e410f9d796a8b4b_d4591956622a6e157e410f9d796a8b4b_resumen_semanal_43.md plantilla;semana;propuesta;semanal;resumen /home/arca/archivo/formato/markdown/d4/d4591956622a6e157e410f9d796a8b4b_d4591956622a6e157e410f9d796a8b4b_resumen_semanal_43.md,"['plantilla', 'semana', 'propuesta', 'semanal', 'resumen']"
/home/arca/archivo/formato/markdown/d4/d4da056131f799c0e6b5768ea12b5ca1_d4da056131f799c0e6b5768ea12b5ca1_resumen_semanal_mayo_1_2025.md,d4da056131f799c0e6b5768ea12b5ca1_d4da056131f799c0e6b5768ea12b5ca1_resumen_semanal_mayo_1_2025.md,md,457,2025-07-27,consolidó;sugirió;generadas;revisión;alma;semana;integración;base;organización;semanal,6c79ee554f003bc4199580e40ee0a110,d4da056131f799c0e6b5768ea12b5ca1_d4da056131f799c0e6b5768ea12b5ca1_resumen_semanal_mayo_1_2025.md consolidó;sugirió;generadas;revisión;alma;semana;integración;base;organización;semanal /home/arca/archivo/formato/markdown/d4/d4da056131f799c0e6b5768ea12b5ca1_d4da056131f799c0e6b5768ea12b5ca1_resumen_semanal_mayo_1_2025.md,"['consolidó', 'sugirió', 'generadas', 'revisión', 'alma', 'semana', 'integración', 'base', 'organización', 'semanal']"
/home/arca/archivo/formato/markdown/d4/d4c05d283cd831344c2b8b87fa21b224_README.md,d4c05d283cd831344c2b8b87fa21b224_README.md,md,96,2025-07-27,generadas;periódicas;logs;errores;auditorías;sistemas,d4c05d283cd831344c2b8b87fa21b224,d4c05d283cd831344c2b8b87fa21b224_README.md generadas;periódicas;logs;errores;auditorías;sistemas /home/arca/archivo/formato/markdown/d4/d4c05d283cd831344c2b8b87fa21b224_README.md,"['generadas', 'periódicas', 'logs', 'errores', 'auditorías', 'sistemas']"
/home/arca/archivo/formato/markdown/d4/d4c92d8802c5292fe22ad4e522c24b9f_README.md,d4c92d8802c5292fe22ad4e522c24b9f_README.md,md,83,2025-07-27,operaciones;backtesting;validar;ejecución;para;históricas,d4c92d8802c5292fe22ad4e522c24b9f,d4c92d8802c5292fe22ad4e522c24b9f_README.md operaciones;backtesting;validar;ejecución;para;históricas /home/arca/archivo/formato/markdown/d4/d4c92d8802c5292fe22ad4e522c24b9f_README.md,"['operaciones', 'backtesting', 'validar', 'ejecución', 'para', 'históricas']"
/home/arca/archivo/formato/markdown/d4/d457bea458253c698ee5915a23108073_BITACORA_CENTRAL_README.md,d457bea458253c698ee5915a23108073_BITACORA_CENTRAL_README.md,md,223,2025-07-27,seguimiento;contiene;históricos;memoria;resúmenes;cronológica,d457bea458253c698ee5915a23108073,d457bea458253c698ee5915a23108073_BITACORA_CENTRAL_README.md seguimiento;contiene;históricos;memoria;resúmenes;cronológica /home/arca/archivo/formato/markdown/d4/d457bea458253c698ee5915a23108073_BITACORA_CENTRAL_README.md,"['seguimiento', 'contiene', 'históricos', 'memoria', 'resúmenes', 'cronológica']"
