         G,         G,         G,         G,         G,         G,         G,         G,         G,         G,         G,         G
         G,         G,         G,         G,         G,         G,         G,         G,         G,         G,         G,         G
         G,         G,         G,         G,         G,         G,         G,         G,         G,         G,         G,         G
         G,         G,        OR1,        OR1,        OR1,        OR1,        OR1,        OR1,        OR1,        OR1,        OR1,        OR1
         G,        OR1,        OR1,        OR1,        OR1,        OR1,        OR1,        OR1,        OR1,        OR1,        OR1,        OR1
        KT,        KT,        KT,        KT,        KT,        KT,        KT,        KT,        OR1,        OR1,        OR1,        OR1
        KT,        OR1,        OR1,        OR1,        OR1,        OR1,        OR1,ORANGINE1,ORANGINE1,ORANGINE1,ORANGINE1,ORANGINE1
        KT,|ORANGINE1,ORANGINE1,ORANGINE1,ORANGINE1,ORANGINE1,        CK,        CK,        GW,        GW,        GW,        GW
        KT,        GW,        GW,        GW,        GW,        GW,        GW,        GW,        GW,        GW,        RB,        RB
ORANGINE1,        RB,        RB,        RB,        RB,        RB,        RB,   ORANGE ,   ORANGE ,   ORANGE ,   ORANGE , M. RUNTZ
ORANGINE1, M. RUNTZ, M. RUNTZ, M. RUNTZ, M. RUNTZ, M. RUNTZ, M. RUNTZ, M. RUNTZ, M. RUNTZ, M. RUNTZ, M. RUNTZ, M. RUNTZ
ORANGINE1, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED,      SXL,      SXL
ORANGINE1,      SXL,        R,        R,        R,        R,        R,        R,        R,        R,        R,        R
ORANGINE1,        R,        R,        R,        R,        R,        R,        R,        R,        R,        R,        R
ORANGINE1,        R,        R,        R,        R,        R,        R,        R,        R,        R,       CH, M. RUNTZ
ORANGINE1,   ORANGE ,   ORANGE ,   ORANGE ,   ORANGE ,   ORANGE ,   ORANGE ,   ORANGE ,   ORANGE ,   ORANGE ,        G ,        R
ORANGINE1,   ORANGE ,   ORANGE ,       CFK,       CFK,       CFK,       CFK,      WIFI,       SW,       SW,       SW,       SW
ORANGINE1,      CHD,      CHD,      CHD,      CHD,      CHD,      CHD,      CHD,      CHD,      CHD,      CHD,      CHD
ORANGINE1,      CHD,      CHD,      CHD,      CHD,      CHD,      CHD,      CHD,      CHD,      CHD,      SXL,      SXL
ORANGINE1,       R3,       R3,       R3,       R3,ORANGINE1,ORANGINE1,ORANGINE1,ORANGINE1,       SW,        R,        R
        R,        R,        R,        R,        R,        R,        R,        R,        R,        R,        R,        R
        R,        R,   BOLO R,   BOLO R,   BOLO R,   BOLO R,   BOLO R,   BOLO R,   BOLO R,   BOLO R,   BOLO R,   BOLO R
 G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED, G.LIMITED
        C+,        C+,        C+,        C+,        C+,        C+,        C+,        C+,        C+,        C+,        C+,        C+
        C+,        C+,      MXS,      MXS,      MXS,      MXS,      MXS,      MXS,      MXS,      MXS,      MXS,        C+
